Artist Name,# of Records,Record Year Range
The Beatles,7,1963 - 1969
The Beach Boys,1,1966 - 1966
Bob Dylan,5,1963 - 1975
Marvin Gaye,1,1971 - 1971
The Rolling Stones,4,1968 - 1972
The Clash,2,1977 - 1979
Elvis Presley,2,1956 - 1976
Miles Davis,2,1959 - 1970
The Velvet Underground,1,1967 - 1967
The Jimi Hendrix Experience,4,1900 - 1968
Nirvana,1,1991 - 1991
Bruce Springsteen,3,1900 - 1984
Van Morrison,2,1968 - 1970
Michael Jackson,2,1979 - 1982
Chuck Berry,1,1982 - 1982
Robert Johnson,1,1990 - 1990
John Lennon / Plastic Ono Band,1,1970 - 1970
Stevie Wonder,3,1972 - 1976
James Brown,2,1963 - 1991
Fleetwood Mac,1,1977 - 1977
U2,2,1987 - 1991
The Who,2,1969 - 1971
Led Zeppelin,4,1969 - 1975
Joni Mitchell,1,1971 - 1971
Ramones,1,1976 - 1976
The Band,2,1968 - 1969
David Bowie,1,1972 - 1972
Carole King,1,1971 - 1971
Eagles,1,1976 - 1976
Love,1,1967 - 1967
Sex Pistols,1,1977 - 1977
The Doors,1,1967 - 1967
Pink Floyd,2,1973 - 1979
Patti Smith,1,1975 - 1975
Bob Marley & The Wailers,1,1984 - 1984
John Coltrane,1,1965 - 1965
Public Enemy,1,1988 - 1988
The Allman Brothers Band,1,1971 - 1971
Little Richard,1,1957 - 1957
Simon & Garfunkel,1,1970 - 1970
Ray Charles,1,1991 - 1991
Creedence Clearwater Revival,1,1976 - 1976
Captain Beefheart & His Magic Band,1,1969 - 1969
Guns N' Roses,1,1987 - 1987
Billy Joel,1,1977 - 1977
Paul Simon,1,1986 - 1986
Curtis Mayfield,1,1972 - 1972
Neil Young,2,1970 - 1972
Prince and the Revolution,1,1984 - 1984
AC/DC,1,1980 - 1980
Otis Redding,1,1965 - 1965
John Lennon,1,1971 - 1971
Aretha Franklin,2,1967 - 1968
Johnny Cash,1,1968 - 1968
Dusty Springfield,1,1969 - 1969
Elton John,1,1973 - 1973
Buddy Holly,1,1978 - 1978
Prince,1,1987 - 1987
Hank Williams,1,1984 - 1984
Elvis Costello,1,1978 - 1978
Sly & The Family Stone,1,1971 - 1971
